WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
OIL,6.24,1.26,3.03,0.99,5.47,1.32,6.31,1.06,0.39
OLIVE,5.68,1.74,4.58,1.16,3.76,1.52,6.54,0.81,0.00
OMEN,4.11,1.88,5.58,1.19,4.02,1.19,2.89,1.54,0.00
ONION,6.08,1.44,2.86,0.79,5.32,1.49,6.83,0.45,0.00
ONSLAUGHT,3.59,1.70,6.00,0.75,3.39,1.08,3.37,1.46,0.00
OPENING,4.68,1.77,3.36,1.03,5.42,1.28,4.69,1.51,1.50
OPPORTUNITY,3.32,1.66,4.75,0.76,5.54,1.09,3.00,1.66,0.00
OPPOSITION,3.65,1.70,5.50,0.96,4.83,1.39,3.12,1.41,0.00
OPTIMISM,4.24,1.91,5.42,0.76,5.00,1.29,2.26,1.36,0.00
ORANGE,6.65,0.67,2.03,0.69,5.83,1.29,6.31,1.58,0.62
ORDER,3.73,1.91,3.44,0.68,5.97,1.00,3.43,1.57,1.15
ORGAN,5.81,1.52,3.56,1.14,5.01,1.41,6.31,1.01,0.78
ORIGIN,3.30,1.92,4.92,0.98,5.47,1.22,2.83,1.38,0.00
ORIGINALITY,3.41,1.70,5.00,1.00,4.88,1.11,2.46,1.23,0.00
ORNAMENT,6.00,1.25,3.03,0.93,4.60,1.53,6.50,0.92,0.00
OSCILLATION,4.46,1.76,6.67,0.53,3.30,1.23,3.31,1.56,0.00
OSTENTATION,2.86,1.77,6.53,0.83,2.94,1.19,2.51,1.34,0.00
OTTER,5.78,1.19,3.83,0.80,3.91,1.40,6.69,0.57,0.00
OUTBREAK,3.65,1.66,4.44,0.90,4.71,1.11,3.60,1.48,0.00
OUTFIT,4.76,1.67,4.17,1.07,4.71,1.35,5.37,1.42,0.34
OUTHOUSE,5.00,1.33,4.61,1.23,3.78,1.42,6.03,1.03,0.00
OUTPOST,3.84,1.53,4.81,0.91,3.68,1.20,4.77,1.77,0.00
OUTSET,2.76,1.67,5.09,1.02,3.94,1.24,3.00,1.77,0.00
OVEN,6.19,1.20,2.36,0.53,5.78,1.11,6.49,0.73,0.00
OVERCOAT,5.58,1.61,3.81,1.13,4.41,1.51,6.46,0.94,0.00
OVERLAP,4.05,1.71,4.44,0.93,4.72,1.21,3.74,1.81,0.00
OVERPRODUCTION,3.22,1.54,5.92,0.95,3.48,1.01,2.91,1.34,0.00
OVERSHOE,3.84,2.03,5.50,1.28,2.51,0.91,5.80,1.33,0.00
OVERTONE,2.74,1.50,5.89,0.87,3.81,1.26,2.94,1.43,2.22
OWL,6.05,1.39,2.69,0.91,4.55,1.40,6.49,1.11,0.00
OX,5.54,1.67,3.29,1.00,3.64,1.50,6.71,0.66,0.00
PACKAGE,5.35,1.76,3.64,1.03,4.97,1.60,6.11,1.04,0.38
PACT,3.53,1.42,5.31,0.88,3.82,1.05,3.63,1.76,0.00
PAGE,5.38,1.88,2.67,0.85,6.51,0.73,5.80,1.56,0.45
PAINTING,6.08,1.34,2.58,0.83,5.27,1.43,6.51,0.73,0.17
PALACE,6.22,0.90,2.94,0.74,4.61,1.40,6.17,1.13,0.00
PALETTE,4.43,1.92,5.42,1.21,3.01,1.32,5.94,1.31,1.07
PALM,5.73,1.45,3.33,0.85,5.10,1.42,6.37,0.90,0.88
PAMPAS,4.16,1.78,5.97,0.90,2.52,1.13,6.00,1.10,0.00
PANCREAS,4.59,1.85,6.56,0.83,3.96,1.64,6.03,1.18,0.00
PANOPLY,2.19,1.67,6.72,0.61,1.94,1.20,4.20,1.83,0.00
PAPER,5.89,1.66,2.29,0.78,6.80,0.58,6.46,0.84,0.55
PARADISE,5.22,1.74,4.56,1.07,4.14,1.41,3.23,2.03,0.00
PARALLELISM,3.30,1.83,6.47,0.55,2.75,1.01,2.49,1.25,0.00
PARDON,3.49,1.67,3.42,0.89,5.43,1.21,3.06,1.53,1.00
PARK,5.84,1.37,2.19,0.57,5.78,1.25,6.43,0.87,0.63
PARLIAMENT,4.81,1.71,5.08,1.12,5.11,1.31,4.71,1.78,0.00
PART,3.73,1.85,3.14,0.79,6.27,0.92,3.57,2.00,0.83
PARTICIPANT,3.76,1.60,5.75,0.95,4.30,1.11,4.51,1.63,0.00
PARTNER,5.19,1.59,3.44,0.80,5.55,1.17,5.20,1.47,0.00
PASSAGE,5.31,1.60,3.56,0.83,5.25,1.43,5.86,1.05,1.49
PASSENGER,5.35,1.47,3.78,0.92,5.43,1.18,5.91,1.15,0.00
PASTE,5.35,1.47,3.17,0.83,4.78,1.36,5.94,1.15,1.18
PASTURE,5.68,1.27,3.86,0.85,4.14,1.19,5.91,0.91,0.00
PATIENCE,4.08,1.73,4.03,0.76,5.35,1.18,2.71,1.47,0.73
PATIENT,5.32,1.25,3.66,0.83,5.38,1.36,5.06,1.67,0.68
PATTERN,4.59,1.38,3.19,0.74,5.55,1.20,4.89,1.58,0.45
PAUSE,3.59,1.97,4.14,0.79,5.28,1.27,3.03,1.34,0.00
PAYMENT,4.78,1.60,4.39,0.72,5.27,1.17,4.43,1.79,0.00
PEACH,6.41,0.82,2.92,0.89,5.03,1.33,6.80,0.47,0.00
PEASANT,5.46,1.44,4.19,0.78,4.22,1.49,5.77,1.31,0.00
PECK,5.00,1.49,3.00,0.78,4.71,1.31,4.43,1.82,0.94
PEDAL,5.62,1.28,3.06,0.74,4.85,1.40,6.29,1.08,0.00
PEEP,4.43,1.55,2.89,1.05,4.18,1.41,3.94,1.71,1.01
PELT,5.14,1.61,4.39,1.03,3.72,1.39,5.20,1.74,1.51
PENCIL,6.19,1.16,2.25,0.49,6.32,0.94,6.69,0.62,0.00
PENDULUM,6.11,1.23,4.22,0.95,4.07,1.47,6.14,1.38,0.00
PENNY,6.05,1.39,1.86,0.63,6.47,0.88,6.51,0.87,0.00
PEOPLE,5.54,1.62,2.81,0.84,6.42,0.84,5.49,1.44,0.00
PEPPER,5.92,1.42,2.69,0.70,5.65,1.33,6.51,0.73,0.45
PERCH,4.68,1.53,4.14,0.92,3.96,1.35,6.06,1.01,0.99
PERDITION,1.86,1.17,6.75,0.55,2.22,1.20,2.63,1.40,0.00
PERFORMANCE,4.59,1.81,4.57,0.90,5.30,1.18,4.17,1.86,0.00
PERIOD,4.44,2.03,4.58,0.98,5.64,1.13,3.60,1.73,0.88
PERMIT,4.16,1.73,4.58,0.89,4.91,1.17,4.00,1.91,0.93
PERPETRATOR,2.78,1.62,6.53,0.83,3.07,1.06,4.17,1.84,0.00
PERSECUTION,4.22,1.71,5.75,0.89,4.23,1.27,2.94,1.35,0.00
PERSONALITY,4.11,2.08,5.08,1.01,5.75,1.03,3.06,1.74,0.00
PERSONNEL,3.81,1.52,5.75,0.89,4.82,1.13,4.40,1.84,0.00
PERTURBATION,2.38,1.42,6.58,0.64,2.55,1.09,2.06,1.17,0.00
PEST,4.51,1.81,3.06,0.94,4.82,1.39,4.97,1.36,0.77
PET,5.89,1.43,2.19,0.91,5.15,1.34,5.80,1.19,0.29
PEW,5.16,1.78,4.31,1.24,3.59,1.53,5.94,1.19,0.17
PHAETON,2.27,1.88,6.89,0.39,1.32,0.72,3.88,2.15,0.00
PHIAL,4.00,2.40,6.53,0.83,2.73,1.41,5.71,1.60,0.00
PHILOLOGY,1.68,1.41,6.92,0.28,1.83,1.05,2.62,1.57,0.00
PHILOSOPHY,3.11,1.76,6.22,0.92,4.83,1.40,2.29,1.54,0.00
PHOTOGRAPH,6.33,0.91,3.17,1.19,5.43,1.11,6.46,1.00,0.00
PHYSICIAN,5.46,1.62,5.61,0.79,4.05,1.53,6.09,1.08,0.00
PIANO,6.16,1.31,2.53,0.87,4.98,1.47,6.66,0.63,0.00
PICTURE,5.78,1.29,2.19,0.97,6.10,1.02,6.11,1.09,0.73
PIG,6.41,0.85,2.33,0.71,5.09,1.41,6.49,1.13,0.00
PIGEON,6.14,1.03,3.25,0.89,4.80,1.50,6.74,0.55,0.17
PILLOW,6.19,1.29,2.17,0.60,6.11,1.11,6.34,1.07,0.00
PIN,6.08,1.36,2.61,0.89,5.45,1.33,6.49,0.77,0.45
PIONEER,4.22,1.88,4.97,1.12,3.46,1.26,4.83,1.61,0.00
PIPING,4.97,1.72,4.36,1.00,4.51,1.07,5.63,1.33,2.23
PIT,5.95,1.35,3.14,0.79,4.93,1.51,6.26,0.94,0.34
PITY,4.11,1.91,3.53,0.65,5.44,1.19,2.57,1.54,0.00
PLACE,3.78,1.76,2.69,0.62,6.41,1.00,4.66,1.74,0.83
PLAIN,4.30,1.93,3.61,0.76,5.40,1.18,4.26,2.12,1.24
PLANET,5.84,1.28,4.14,0.89,4.57,1.49,5.46,1.64,0.00
PLATFORM,5.35,1.49,3.86,0.86,4.98,1.17,5.74,1.42,0.00
PLAY,5.46,1.62,1.92,0.64,5.93,1.06,5.31,1.28,1.56
PLAZA,3.57,1.88,6.42,0.95,2.28,0.91,4.97,1.38,0.00
PLEASURE,5.46,1.67,3.94,1.00,5.67,1.24,3.29,1.67,0.00
PLENIPOTENTIARY,1.35,0.99,6.97,0.16,1.28,0.56,3.52,1.88,0.00
PLOT,4.00,1.63,4.22,1.11,5.06,1.47,3.37,1.42,1.31
PLUG,5.89,1.41,2.42,0.83,5.75,1.35,5.86,1.48,1.09
PLUNGE,5.54,1.48,4.06,0.94,4.41,1.33,4.03,1.58,0.00
POCKET,5.54,1.55,2.28,0.61,6.16,1.26,6.26,1.02,0.38
POETRY,4.89,1.54,3.86,0.75,4.87,1.37,4.46,1.87,0.00
POISON,5.16,1.70,3.64,0.85,4.93,1.19,5.51,1.56,0.00
POLISH,5.00,1.56,3.36,0.82,4.85,1.42,5.60,1.15,0.38
POLITICIAN,5.13,1.63,5.11,1.07,5.56,1.14,5.14,1.53,0.00
POLKA,4.81,1.84,5.71,0.94,2.81,1.30,4.94,1.43,0.29
POLYP,2.41,2.19,6.78,1.00,1.85,1.26,4.47,2.09,0.00
POND,6.05,1.39,2.39,0.54,5.06,1.45,6.60,0.68,0.00
POOL,5.83,1.28,2.39,0.76,5.41,1.29,6.03,1.23,0.45
POPULATION,3.97,1.81,4.69,0.91,5.43,1.27,4.14,1.78,0.00
PORCH,5.92,1.32,3.19,0.84,4.55,1.35,6.29,1.03,0.00
PORT,5.73,1.41,3.72,0.73,4.67,1.48,5.91,1.11,1.14
PORTION,4.05,1.47,4.11,0.87,5.07,1.16,3.89,1.53,0.00
POSITION,3.59,1.85,3.75,0.89,5.75,1.11,3.51,1.44,1.48
POSSESSION,4.16,1.73,4.69,0.75,5.12,1.41,3.83,1.84,0.00
POST,5.11,1.67,3.06,0.81,6.22,0.92,5.60,1.48,0.94
POT,5.97,1.35,2.17,0.93,5.77,1.21,6.54,0.65,1.53
POTATO,6.22,1.26,2.33,1.00,6.52,0.65,6.69,0.52,0.00
POUCH,5.19,1.73,3.67,1.08,3.73,1.60,5.97,1.28,0.00
POUND,5.70,1.67,3.08,0.89,6.65,0.71,5.69,1.58,0.88
PRACTICAL,4.05,1.84,4.89,1.15,6.06,1.06,3.29,1.72,1.96
PRAIRIE,5.32,1.34,4.33,0.75,3.83,1.27,5.97,1.11,0.00
PRAYER,4.78,1.88,2.69,0.78,4.94,1.41,3.83,1.95,0.00
PRECAUTION,3.73,1.75,5.25,0.95,4.77,1.32,2.94,1.53,0.00
PRECIPITATE,4.32,2.05,6.33,1.13,4.29,1.57,3.51,2.10,0.00
PRECURSOR,2.11,1.37,6.71,0.56,2.70,1.47,3.74,1.76,0.00
PREEMINANCE,1.84,1.40,6.61,0.83,2.50,1.03,2.09,1.08,0.00
PREFERENCE,2.87,1.65,5.36,0.95,5.19,1.27,2.03,1.18,0.00
PRELUDE,3.46,1.69,5.72,1.02,3.83,1.19,3.66,1.79,1.05
PREPARATION,3.19,1.61,4.94,0.83,5.32,1.05,3.37,1.73,0.00
PRESENCE,3.27,1.54,4.56,1.14,4.99,1.37,3.06,1.31,0.00
PRESIDENT,5.19,1.41,4.58,0.89,5.09,1.25,5.29,1.56,0.00
PRESSURE,4.70,1.80,4.44,0.98,5.45,1.16,3.89,1.51,0.62
PRETENCE,3.13,1.82,5.00,1.05,4.53,1.26,2.12,1.05,0.00
PREY,4.89,1.50,4.39,0.72,4.20,1.17,4.69,1.69,0.00
PRIEST,5.49,1.48,4.11,1.12,4.46,1.52,5.86,1.38,0.00
PRIMARY,3.73,1.77,2.97,0.80,4.97,1.24,3.23,1.85,1.43
PRINCIPAL,4.08,1.53,5.25,0.98,4.91,1.09,3.86,2.11,0.94
PRINCIPLE,3.11,1.64,5.33,1.08,4.96,1.24,2.32,1.49,1.61
PRISONER,5.43,1.44,3.61,1.06,4.80,1.55,5.63,1.55,0.00
PRIVELEGE,3.24,1.60,4.94,0.81,5.00,1.20,3.03,1.58,0.00
PROBLEM,3.92,1.81,3.67,0.85,6.25,0.88,3.53,1.63,1.44
PROCESSION,5.22,1.63,4.14,1.11,4.72,1.16,4.94,1.31,0.00
PRODUCE,3.73,1.54,4.31,0.81,5.56,1.13,4.40,1.62,0.98
PRODUCTION,3.53,1.55,4.86,0.93,5.45,1.17,3.14,1.59,0.94
PROFESSIONAL,3.89,1.72,4.94,0.97,5.20,1.04,3.83,1.76,0.00
PROFESSOR,5.49,1.33,5.19,0.94,5.65,1.33,5.40,1.59,0.00
PROFITEER,3.03,1.53,6.36,0.67,3.33,0.87,4.26,1.73,0.00
PROGRAMME,4.64,1.62,3.32,1.13,5.80,1.11,4.20,1.69,1.31
PROJECTILE,4.92,1.62,5.97,1.14,3.47,1.16,5.57,1.34,0.00
PROMENADE,5.32,1.43,4.67,1.45,3.82,1.30,5.63,1.22,0.72
PRONG,5.05,1.56,4.39,1.01,4.09,1.29,5.54,1.42,0.00
PROOF,3.00,1.41,4.56,1.04,5.28,0.96,2.94,1.55,0.17
PROPERTY,4.43,1.69,4.47,0.87,5.14,1.27,4.34,1.77,0.00
PROPORTION,3.35,1.71,5.11,0.81,5.29,1.27,3.00,1.53,0.00
PROPRIETOR,4.51,1.70,5.61,0.92,3.93,1.36,4.94,1.88,0.00
PROSPERITY,4.22,1.88,5.67,1.03,4.30,1.13,2.77,1.27,0.00
PROTECTION,4.16,1.88,4.61,1.16,5.19,1.34,3.03,1.63,0.00
PROTEST,4.78,1.61,4.75,0.92,5.30,1.14,3.38,1.70,0.00
PROVENDER,1.68,1.54,6.83,0.37,1.48,0.68,3.24,1.82,0.00
PROVISION,3.49,1.50,5.08,0.76,4.53,1.23,4.43,1.66,1.24
PROW,3.13,1.91,5.83,1.09,2.52,1.13,5.03,1.89,0.00
PRUNE,5.84,1.35,3.47,0.83,4.44,1.36,6.46,0.87,0.77
PSYCHOLOGIST,4.76,1.91,6.06,1.03,5.56,1.40,5.26,1.60,0.00
PUBLIC,4.54,1.82,4.00,1.08,6.02,0.90,3.57,1.66,0.00
PUCK,3.76,1.91,5.72,0.87,2.81,1.09,4.89,2.12,0.00
PUGILIST,2.70,2.09,6.56,0.72,1.89,0.90,4.29,2.01,0.00
PUMP,5.31,1.49,3.44,0.90,4.86,1.48,6.09,0.98,0.17
PUNCH,5.57,1.42,3.06,0.71,4.81,1.42,5.69,1.26,1.28
PUNISHMENT,4.24,1.81,3.42,0.76,5.15,1.20,3.60,1.73,0.00
PUPPY,6.41,0.97,2.03,0.73,5.22,1.38,6.60,0.60,0.00
PURPOSE,2.86,1.61,4.28,0.80,5.72,1.10,2.71,1.77,0.00
PURSER,3.68,1.73,5.92,0.98,2.96,1.12,4.97,1.72,0.00
PUZZLE,5.16,1.50,3.20,0.89,4.86,1.33,4.63,1.79,0.00
PYRAMID,6.19,1.16,3.97,0.90,4.13,1.36,6.51,0.77,0.00
QUAIL,4.43,2.28,5.36,1.16,3.06,1.31,6.23,1.27,0.35
QUANTITY,3.25,1.74,4.19,1.02,5.62,0.96,3.26,1.63,0.00
QUARTER,4.81,1.64,3.34,0.92,5.57,1.18,4.34,1.66,0.71
QUEEN,6.24,1.00,2.47,0.76,5.32,1.24,5.74,1.64,0.00
QUESTION,4.22,1.86,3.14,0.68,6.05,0.92,3.83,1.66,0.00
QUICKNESS,3.78,1.74,3.92,1.01,4.78,1.31,2.80,1.49,0.00
QUIETUDE,2.92,2.03,6.42,0.86,2.20,1.08,2.57,1.59,0.00
QUIVER,5.11,1.61,4.60,0.87,3.68,1.24,5.03,1.63,0.99
RABBIT,6.41,0.91,2.06,0.66,5.14,1.47,6.83,0.51,0.00
RACKET,5.46,1.55,3.86,0.95,4.85,1.40,5.91,1.44,1.25
RADIO,6.19,1.11,3.17,0.93,6.44,0.88,6.51,0.73,0.00
RAID,4.70,1.71,3.91,0.73,4.83,1.21,3.91,1.73,0.00
RAIN,6.46,0.89,2.11,0.66,6.39,1.01,6.46,0.81,0.00
RAKE,5.38,1.51,3.36,0.95,4.39,1.37,6.51,0.77,0.45
RANCH,5.25,1.50,4.03,0.87,3.79,1.18,5.89,1.17,0.00
RANGE,4.19,1.77,4.36,0.86,5.15,1.17,4.26,1.83,2.21
RAPIDS,5.70,1.31,4.94,1.08,3.99,1.15,5.51,1.36,0.00
RARITY,2.76,1.71,5.50,0.96,3.73,1.25,2.54,1.56,0.00
RATE,2.76,1.44,4.56,1.07,5.36,1.41,2.89,1.39,1.24
RATTLE,5.16,1.64,2.61,1.09,4.62,1.45,5.54,1.63,1.72
RAY,5.62,1.65,3.22,1.03,4.80,1.59,4.86,1.51,0.91
REACTION,3.89,1.74,5.06,1.00,5.51,1.14,2.91,1.65,0.83
REALITY,3.19,1.63,4.69,1.00,5.43,1.27,2.40,1.53,0.00
REALM,3.30,1.83,5.61,1.14,3.76,1.21,2.97,1.70,1.57
REASON,2.97,1.48,3.83,0.87,6.13,1.01,3.06,1.51,1.93
REBEL,5.03,1.64,4.61,1.01,4.48,1.26,4.51,1.65,0.17
RECEIPT,4.38,1.81,5.17,1.28,4.98,1.16,4.91,1.90,0.29
RECEPTACLE,4.32,1.88,5.61,0.83,3.83,1.24,5.71,1.21,0.00
RECIPROCAL,2.84,1.88,6.56,0.83,3.99,1.10,3.03,1.70,0.00
RECKONING,2.89,1.29,5.25,0.98,4.28,1.21,2.23,1.27,0.00
RECOLLECTION,3.14,1.66,5.33,0.97,4.25,1.44,2.89,1.49,0.00
RECORD,5.97,1.26,3.22,0.85,6.19,1.01,5.86,1.50,0.88
RECREANT,1.73,1.11,6.56,0.93,1.79,0.83,3.32,1.92,0.00
RECTOR,5.00,1.66,5.61,1.18,4.48,1.52,5.40,1.61,0.00
REDEEMER,3.59,2.07,5.31,1.35,3.70,1.38,3.69,1.92,0.00
REDUCTION,3.38,1.67,5.08,0.95,5.09,1.04,3.09,1.63,0.00
REED,5.32,1.58,3.69,0.99,4.16,1.47,6.26,1.08,0.80
REENFORCEMENT,3.49,1.94,5.33,0.88,4.80,1.19,3.57,1.90,0.00
REFINEMENT,3.81,1.87,5.50,1.01,4.36,1.56,2.63,1.20,0.00
REFORMATION,2.86,1.85,6.03,0.80,3.49,1.29,2.35,1.23,1.05
REFUSE,4.38,1.88,3.94,1.03,5.37,1.22,5.23,1.42,1.00
REGENCY,3.22,1.83,5.86,1.07,3.73,1.29,3.60,1.69,0.00
REGISTER,4.89,1.50,4.08,1.09,4.71,1.23,5.20,1.86,2.27
REGRET,3.65,1.91,4.28,0.87,5.29,1.17,2.49,1.44,0.00
REIGN,3.78,1.82,4.50,1.19,4.23,1.10,2.97,1.56,0.00
REIN,4.84,2.05,3.56,0.96,4.40,1.28,5.62,1.57,0.57
RELATION,4.57,1.55,3.75,1.04,5.85,1.11,3.88,1.83,0.47
RELAXATION,5.00,1.68,4.83,1.12,5.01,1.32,2.77,1.44,0.00
RELIEF,4.38,1.88,4.43,1.05,5.51,1.13,2.97,1.83,0.47
REMARK,3.27,1.78,4.19,0.91,5.58,1.29,3.71,1.56,0.00
REMEDY,3.76,1.60,4.92,0.79,4.80,1.30,3.71,1.86,0.54
REMITTANCE,3.43,1.75,5.94,1.13,3.88,1.24,3.37,1.57,0.00
REMOVAL,3.97,1.88,4.06,0.86,4.98,1.22,3.46,1.44,0.00
RENDEZVOUS,4.46,1.69,5.81,0.94,3.82,1.30,3.83,1.75,0.00
RENT,5.14,1.73,4.25,1.14,5.48,1.37,4.71,1.94,0.38
REPAIR,4.46,1.70,3.75,0.83,5.43,1.28,4.00,1.76,0.00
REPEAT,3.57,1.81,3.67,0.85,6.02,1.08,3.29,1.65,0.00
REPORT,4.40,1.68,3.86,0.95,5.86,1.00,4.26,1.76,1.44
REPRESENTATIVE,3.86,1.93,5.31,0.91,5.11,1.28,4.46,1.64,0.00
REPRISAL,3.00,1.68,6.39,0.83,3.95,1.01,2.74,1.32,0.00
REPUBLIC,3.62,1.76,5.56,0.98,4.58,1.40,3.80,1.62,0.00
REPUTATION,3.49,1.84,5.58,0.95,4.92,1.29,2.17,1.08,0.00
RESCUE,4.62,1.55,3.67,0.85,5.32,1.18,3.77,1.57,0.00
RESENTMENT,3.58,1.83,5.39,0.98,4.40,1.18,2.40,1.25,0.00
RESISTANCE,4.22,1.66,5.03,0.96,5.40,0.84,3.60,1.62,1.17
RESOLUTION,3.22,1.53,5.50,0.87,4.33,1.29,2.54,1.54,1.24
RESPECT,3.49,1.88,4.33,0.88,5.71,1.11,2.71,1.58,0.00
RESPONSIBILITY,3.00,1.68,5.14,1.11,5.32,1.21,2.06,1.11,0.00
REST,4.41,1.85,2.22,0.79,6.19,1.19,3.51,1.81,1.26
RESULT,3.30,1.92,4.06,1.00,6.23,0.99,3.14,1.51,0.00
RESUMPTION,2.70,1.63,6.03,0.73,3.72,1.05,2.51,1.32,0.00
RETENTION,3.22,1.60,5.92,0.83,3.99,1.24,2.71,1.43,0.00
RETREAT,4.27,1.77,4.31,1.01,4.49,1.18,3.83,1.83,0.17
REVENGE,4.35,1.77,4.67,0.85,4.89,1.34,3.00,1.39,0.00
REVENUE,3.36,1.72,5.69,1.10,4.01,1.30,3.77,1.73,0.00
REVIEW,3.51,1.65,5.47,0.96,4.96,1.13,3.94,1.67,1.22
REVOLUTION,5.19,1.64,5.17,0.96,4.77,1.41,3.82,1.74,1.06
REWARD,4.59,1.55,3.72,0.77,5.25,1.30,4.03,1.72,0.00
RHAPSODY,4.16,1.60,6.39,0.86,2.97,1.11,4.57,1.34,0.00
RHYME,4.81,1.57,2.53,0.87,4.80,1.30,4.46,1.52,0.00
RIBBON,5.69,1.43,2.86,0.71,4.80,1.39,6.34,0.92,0.00
RICK,2.81,2.05,5.69,1.49,2.23,1.08,4.91,1.98,1.48
RIDGE,5.49,1.37,4.33,0.94,4.30,1.43,5.74,1.36,0.00
RIFLE,6.00,1.12,3.22,0.85,4.30,1.53,6.37,1.17,0.17
RIGIDITY,4.38,1.81,5.75,1.01,3.94,1.12,3.34,1.47,0.00
RING,6.28,1.19,2.08,0.76,6.05,1.07,6.26,1.18,1.39
RIOT,5.54,1.52,4.56,1.04,4.90,1.28,4.23,1.46,0.00
RISK,4.11,1.85,3.97,0.90,5.17,1.23,2.83,1.25,0.00
ROAD,6.38,1.15,2.06,0.66,6.44,0.87,6.29,1.16,0.00
ROAR,5.32,1.51,2.78,0.71,4.71,1.57,4.49,1.56,0.00
ROBIN,6.33,0.91,2.33,0.71,4.63,1.70,6.77,0.48,0.00
ROD,5.24,1.67,2.78,0.85,5.01,1.52,6.14,1.17,1.56
ROGUE,4.84,1.60,4.44,1.07,3.78,1.40,4.34,1.80,0.00
ROMANCE,5.57,1.35,4.66,0.79,5.17,1.35,3.09,1.52,0.47
ROOM,5.59,1.48,2.44,0.93,6.70,0.69,6.14,1.10,0.67
ROPE,5.92,1.65,2.81,0.66,5.09,1.37,6.51,0.81,0.00
ROSEBUD,5.92,1.26,3.69,1.05,3.69,1.02,6.26,1.02,0.45
ROTATION,4.54,1.46,4.94,0.81,4.70,1.21,3.69,1.74,0.00
ROUGHNESS,4.46,1.75,3.58,1.01,4.72,1.46,3.77,1.48,0.00
ROUTE,4.43,1.65,4.47,0.87,5.10,1.26,4.46,1.56,0.00
RUBBER,6.05,1.29,2.89,0.75,5.47,1.24,6.29,1.03,1.49
RUBY,5.76,1.38,3.97,0.80,4.02,1.51,6.43,0.93,0.34
RUG,6.24,1.32,2.33,0.78,5.33,1.46,6.40,0.90,0.00
RULER,5.49,1.73,3.11,0.61,5.71,1.21,5.83,1.61,0.72
RUMOUR,3.68,1.66,4.61,0.86,5.23,1.25,3.06,1.51,0.00
RUNG,4.86,1.69,4.14,1.06,4.23,1.42,5.57,1.32,0.17
RUST,5.53,1.42,3.80,1.12,4.84,1.46,5.80,1.26,0.00
RYE,4.65,1.73,5.00,0.94,3.88,1.50,6.34,0.89,0.17
SADDLE,5.84,1.42,3.44,0.90,4.36,1.52,6.37,0.86,0.00
SAFETY,3.89,1.91,3.39,0.89,5.65,1.28,3.29,1.67,0.00
SAGA,3.51,1.76,5.06,1.00,3.88,1.24,3.69,1.75,0.00
SALAD,6.35,0.97,3.42,0.83,5.31,1.28,6.40,0.68,0.00
SALARY,4.35,1.80,5.58,0.95,4.85,1.29,4.46,1.56,0.00
SALT,6.14,1.38,2.33,0.67,6.47,0.96,6.49,0.97,0.00
SALTPETRE,2.89,2.15,6.56,0.80,2.10,0.90,5.49,1.81,0.00
SALVATION,4.14,2.00,5.58,0.89,3.96,1.41,2.59,1.85,0.00
SAMPLER,3.84,1.79,5.39,0.92,3.97,1.17,4.37,1.91,1.45
SAND,6.00,1.39,2.17,0.65,4.81,1.51,6.37,0.86,0.00
SANITARIUM,5.16,1.70,6.06,0.74,2.98,1.27,5.94,1.31,0.00
SANITATION,4.53,1.61,5.86,1.00,3.54,1.31,3.97,1.61,0.00
SAP,4.57,1.73,4.64,1.03,3.77,1.48,5.66,1.43,0.71
SARDINE,5.97,1.33,3.53,0.87,4.57,1.38,6.40,1.42,0.00
SATCHEL,5.86,1.42,2.97,0.83,3.64,1.50,6.26,1.10,0.00
SATISFACTION,4.84,1.64,4.66,0.89,5.44,1.23,3.00,1.85,0.00
SAUCE,5.84,1.39,2.58,0.68,5.94,0.96,6.03,1.18,0.00
SAVAGE,5.41,1.44,3.92,0.83,4.44,1.21,4.34,1.76,0.95
SAW,5.86,1.49,2.69,1.05,5.46,1.37,6.29,1.11,0.34
SAXOPHONE,6.03,1.15,5.19,0.84,3.88,1.44,6.63,0.64,0.00
SCALE,4.65,1.85,3.97,0.90,5.37,1.22,4.80,1.75,2.34
SCARE,4.57,1.62,2.97,0.76,5.09,1.30,3.43,1.61,0.00
SCENE,4.08,1.70,4.25,0.92,5.12,1.41,4.14,1.69,1.35
SCHEME,3.22,1.68,4.75,1.01,4.90,1.32,3.43,1.46,0.29
SCHOOL,6.25,1.01,2.28,0.56,5.90,1.04,6.26,0.80,0.00
SCHOOLHOUSE,5.50,1.26,3.69,1.13,3.88,1.43,6.18,0.98,0.00
SCIENCE,4.47,1.82,4.58,0.92,5.82,1.17,3.46,1.70,0.00
SCORN,3.70,1.80,4.71,1.00,4.17,1.29,2.83,1.44,0.00
SCOUT,5.84,1.37,3.72,0.84,4.52,1.51,5.91,1.27,0.86
SCRATCH,5.49,1.39,2.69,0.66,5.53,1.05,5.46,1.48,0.55
SCREAM,5.95,1.29,2.75,0.72,5.22,1.28,4.97,1.46,0.00
SCROLL,5.78,1.53,4.58,1.06,3.50,1.19,6.26,0.91,0.00
SCULL,4.38,2.38,5.33,1.27,2.96,1.51,4.77,1.97,1.06
SEAL,6.27,1.03,3.28,0.61,4.41,1.35,6.63,0.59,1.05
SEARCH,4.32,1.93,3.44,0.86,5.41,1.19,3.74,1.78,0.00
SEASON,5.08,1.53,3.28,0.99,5.47,1.15,4.69,1.56,0.47
