WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
FRENZY,4.56,1.74,5.06,0.94,4.09,1.40,2.97,1.50,0.00
FRIAR,5.03,1.68,4.83,0.90,3.43,1.29,5.69,1.37,0.00
FRIENDSHIP,5.41,1.50,3.83,1.01,5.67,1.09,3.34,1.82,0.00
FRILL,5.03,1.57,3.83,1.01,3.79,1.18,5.46,1.34,0.00
FROG,6.14,1.21,2.58,0.79,4.60,1.57,6.80,0.47,0.00
FROST,6.19,1.09,2.64,0.89,5.65,1.26,6.20,1.01,0.00
FRUIT,6.30,1.27,2.19,0.84,6.25,1.01,6.46,1.16,0.17
FUDGE,5.73,1.54,2.78,0.85,4.77,1.54,6.43,0.84,0.00
FULLNESS,3.70,1.57,4.53,1.09,4.46,1.25,2.69,1.21,0.00
FUNCTION,3.16,1.59,5.11,0.99,5.16,1.27,3.43,1.74,1.60
FURNACE,5.92,1.34,4.28,0.87,4.06,1.39,6.34,0.83,0.00
FURY,4.86,1.80,4.17,0.87,4.72,1.41,3.00,1.55,0.17
FUTURE,4.19,1.63,4.14,1.03,6.12,1.02,3.06,1.76,0.00
GABARDINE,4.08,2.10,5.28,1.80,2.77,1.06,5.91,1.36,0.00
GAIN,3.14,1.66,3.89,0.81,5.41,1.19,3.60,1.62,0.00
GALLERY,5.81,1.35,4.42,0.95,4.83,1.29,5.97,0.94,0.72
GAME,5.00,1.36,2.42,0.64,5.97,1.12,4.94,1.62,0.77
GANG,5.41,1.46,3.36,0.82,5.15,1.26,5.11,1.45,0.00
GARDEN,6.51,0.95,1.86,0.63,6.18,0.97,6.63,0.86,0.00
GARMENT,5.32,1.36,4.53,0.96,3.94,1.40,6.00,0.99,0.00
GAS,5.22,1.86,3.39,0.86,5.40,1.44,5.80,0.98,1.27
GASP,4.97,1.52,3.67,0.82,4.57,1.42,4.17,1.50,0.00
GAUNTLET,5.54,1.55,5.11,0.99,3.14,0.96,6.09,0.97,0.51
GEESE,5.95,1.45,3.14,0.92,4.19,1.14,6.46,1.16,0.00
GENERATION,3.68,1.76,4.89,1.01,5.20,1.17,3.17,1.58,0.80
GENIUS,4.78,1.80,4.80,0.98,4.70,1.19,3.71,1.92,0.00
GENTLEMAN,5.54,1.37,3.47,0.87,5.11,1.42,5.60,1.59,0.00
GENTRY,4.68,1.86,5.56,0.96,3.09,1.09,4.66,1.41,0.00
GEOGRAPHY,4.76,1.79,4.50,0.83,4.95,1.43,3.37,1.87,0.00
GERM,4.68,2.23,3.19,1.10,5.06,1.34,4.54,1.83,0.00
GESTURE,4.38,1.79,4.94,0.81,4.77,1.21,4.11,1.51,0.00
GIANT,5.68,1.40,2.56,0.76,4.69,1.50,5.37,1.76,0.00
GIG,4.43,1.69,5.64,1.27,4.25,1.66,5.49,1.57,0.99
GINGERBREAD,5.78,1.45,3.00,1.05,4.27,1.58,6.60,0.68,0.00
GIRL,6.30,1.27,1.83,0.87,6.72,0.45,6.66,0.63,0.00
GIVER,3.84,1.79,3.92,1.16,4.16,1.56,4.43,1.68,0.00
GLARE,5.42,1.57,4.44,1.01,4.58,1.37,4.51,1.57,0.99
GLEAM,5.17,1.62,4.03,0.93,4.56,1.27,3.97,1.46,0.00
GLIMPSE,4.28,1.68,4.50,0.83,4.69,1.29,3.76,1.70,0.00
GLOBE,5.95,1.21,3.64,0.98,4.52,1.50,5.29,1.86,0.00
GLOVE,6.03,1.40,2.28,0.84,5.78,1.39,6.29,1.19,0.00
GLUT,3.40,1.64,5.50,0.93,3.53,1.13,4.00,1.57,0.00
GOAL,5.62,1.30,2.94,0.57,5.54,0.95,5.00,1.60,0.99
GODHEAD,3.30,2.00,6.14,1.06,2.72,1.61,3.60,1.95,0.00
GOLF,6.08,1.08,3.64,1.06,4.74,1.54,5.71,1.32,0.00
GONDOLA,5.78,1.30,5.08,1.06,2.91,1.16,6.40,0.80,0.00
GOODNESS,4.22,1.83,3.14,0.92,5.09,1.33,2.66,1.64,0.00
GORE,3.92,1.87,5.47,1.17,3.46,1.21,4.60,1.57,0.00
GOSPEL,4.46,2.09,4.44,1.40,4.37,1.48,4.11,1.98,0.00
GOVERNMENT,4.92,1.76,4.53,0.87,5.94,1.05,4.37,1.71,0.00
GRADE,4.03,1.94,4.17,1.04,5.33,1.10,3.37,1.62,0.00
GRADUATE,5.22,1.68,5.92,0.86,5.20,1.46,4.69,1.72,0.00
GRAMERCY,1.54,1.15,6.83,0.50,1.59,1.10,2.70,1.66,0.00
GRANDFATHER,5.70,1.63,2.14,0.89,4.71,1.57,5.94,1.33,0.00
GRANDMOTHER,6.16,1.26,2.08,0.80,4.98,1.58,6.17,1.36,0.00
GRAPE,5.95,1.21,2.97,0.90,5.02,1.31,6.71,0.51,0.17
GRAPHITE,4.57,1.84,5.86,1.03,3.53,1.44,5.91,1.27,0.00
GRAVE,6.14,1.28,3.39,0.95,4.87,1.24,5.63,1.71,0.72
GRAVY,6.00,1.22,2.69,0.78,5.22,1.13,6.40,1.05,0.00
GREED,4.62,1.48,2.94,0.97,5.19,1.27,2.66,1.31,0.00
GREEN,6.24,1.30,2.25,0.72,5.89,1.40,4.66,1.88,0.38
GREENNESS,5.46,1.65,3.75,1.16,3.69,1.29,3.80,1.83,0.00
GRIEF,5.05,1.66,4.50,0.87,4.76,1.37,3.09,1.57,0.00
GRIEVANCE,3.46,1.70,5.42,0.86,4.34,1.20,2.89,1.56,0.00
GRIP,5.46,1.46,3.25,0.89,5.23,1.48,5.09,1.44,0.29
GROAN,5.27,1.54,3.42,0.83,4.81,1.24,4.66,1.53,0.00
GROUND,5.32,1.58,2.58,0.83,5.83,1.23,5.97,1.23,0.77
GROVE,4.76,1.55,4.83,1.01,3.74,1.20,5.63,1.20,0.00
GROWTH,4.32,1.83,3.78,1.06,5.60,1.21,3.86,1.57,1.37
GUARD,5.35,1.66,3.44,0.68,4.95,1.46,5.49,1.42,1.50
GUESS,3.36,1.87,2.92,0.86,5.85,1.21,2.34,1.39,0.00
GUIDE,5.11,1.74,3.67,0.91,5.23,1.24,5.17,1.65,1.05
GULF,4.97,1.59,4.56,1.01,4.06,1.33,4.63,1.62,0.00
GUN,6.38,0.94,2.28,0.93,4.83,1.46,6.46,1.00,0.00
GUSH,4.89,1.71,4.53,1.32,3.83,1.29,4.03,1.62,1.04
GUY,5.57,1.44,3.58,1.23,5.50,1.56,5.94,1.39,0.91
HABIT,4.24,1.84,3.50,0.96,5.83,1.14,3.60,1.87,0.54
HADDOCK,5.38,1.58,3.89,0.87,4.75,1.32,6.74,0.50,0.00
HAIL,4.97,1.91,3.54,0.87,4.13,1.25,6.03,1.21,0.99
HALF,4.73,1.69,2.67,0.82,6.31,0.90,4.09,1.90,0.00
HALL,5.59,1.53,2.83,1.01,6.01,1.27,6.09,1.18,0.75
HALTER,4.59,1.90,5.11,1.13,3.74,1.65,5.77,1.35,1.00
HAMMER,6.19,1.37,2.78,0.85,4.85,1.46,6.63,0.76,0.00
HANDKERCHIEF,5.89,1.56,2.89,0.74,5.51,1.33,6.54,0.84,0.00
HANDMAID,4.03,2.11,5.08,1.16,2.77,1.00,5.26,1.66,0.00
HANK,3.19,2.00,5.83,1.30,2.90,1.23,4.89,1.70,0.00
HAPPINESS,5.22,1.56,3.33,0.94,5.83,1.11,2.69,1.65,0.00
HARBOUR,6.03,1.26,3.19,0.62,5.12,1.23,6.37,1.04,0.17
HARE,6.03,1.28,2.81,0.94,4.62,1.58,6.57,0.99,0.00
